,Tweets,Numeric Labels,Label
1625,بابا من هنوز پیرهن قشنگ‌هام رو نپوشیدم چرا هوا انقدر خنک شده :/,1,Sad
1626,از هر چی مسلمونه با تموم وجود نفرت دارم,1,Sad
1627,یعنی مجری چی پرسیده بود که این حرفارو زد؟🤔,4,Intense Emotions
1628,خیلی مزخرفه 😩😩,1,Sad
1629,بمیرم برات عمو حسن عزیز. خودمون کم توی زندگی غصه داریم باید غصه‌ی ظلمی که به تو شد رو هم بخوریم.💔💔💔,1,Sad
1630,سر اسپیکینگ ایلتس وسط حرف زدن ذهنم قفل کرد و از استاد پرسیدم غذای دریایی چی میشد؟🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂,0,Happy
1631,حالا‌ واقعا نمیفهمین شوخیه یا کسخلین,2,Angry
1632,کاش می‌شد این احساسات رو‌ از ریشه‌ خشکوند.,1,Sad
1633,هر داک اپلایی که میبینم، حس میکنم دارم ماندنی‌تر میشم.,1,Sad
1634,لعنت به کامپایلر😮‍💨😮‍💨😮‍💨,1,Sad
1635,را با خودت و ما اینجوری می‌کنی آخه آجی؟😭😭😭,1,Sad
1636,ب پس کسخلی آجی؟😔,4,Intense Emotions
1637,🥺🥺🥺🥺😭💔 آییی,4,Intense Emotions
1638,ترسویید، نمیشود برایتان مرد.,1,Sad
1639,من کلا دو حالت بیشتر ندارم یا منم که دارم اورثینک میکنم یا اورثینکه که داره منو میکنه,1,Sad
1640,سیب زمینی میخورم که فراموش کنم دنیا پوچ است,0,Happy
1641,یادم باشه تا بیمه پوشش میده برم یه عینکم از بیمارستان بکشم بیرون.,0,Happy
1642,بگا نمیری بگا نمیری یکدفعه از چند جهت گاییده میشی,2,Angry
1643,تراپی؟؟ نه ممنون!! همسر و دخترمو تماشا میکنم.,0,Happy
1644,انشالله در سیمای توپ برمیگردم,0,Happy
1645,یک ویزا برای باربی.,0,Happy
1646,از چشام خسته شدم دیگه😭,1,Sad
1647,اوکی فاینالی به سمت صورتی فروشی,0,Happy
1648,من سیب شدم بلکه مرا گاز بگیرد.,4,Intense Emotions
1649,خدایا این بچه تا یه سال دیگه زنده بمونه 🤲,0,Happy
1650,من کاملا جدی به یه نفر نیاز دارم که با چوب بالاسرم وایسه و مراقب باشه که درس بخونم و وقت تلف نکنم. حقوق هم توافقی 🤝,0,Happy
1651,ترکیب برنده بعد دوش:,0,Happy
1652,وای خدا من چرا انقد خنگم,1,Sad
1653,بابام کلا هفتا عکس پروفایل داره که سه تاش با منه. دلخوشی از این بیشتر؟ 🥹🥹,4,Intense Emotions
1654,بخدا یه بار دیگه وقتی در اتاقو بستم یکی یهو باز کنه گردنشو بکنه تو گردنش رو میشکنم.,1,Sad
1655,قرمز یا آبی-طلایی؟,3,Neutral
1656,خیلی گرگید 😂😂😂,0,Happy
1657,از وحوش گشت ارشاد می‌ترسم؟ بله، ولی یک قدم قرار نیست به عقب برگردم.,4,Intense Emotions
1658,من اساس زندگیم بر اساس سردی گرمیه. یعنی اینکه الان زنده‌م به خاطر اینه که فلان موقع که سردیم شده بود پشتش گرمی خوردم. بعد الان میگید سردی گرمی وجود نداره؟ تعارف نکنید فردا هم بیاید بگید بتمن شخصیت خیالیه😡😡,1,Sad
1659,آدم از یه جایی دیگه شرمگین میشه در جواب هر «چطوری؟» بگه «خوب نیستم».,1,Sad
1660,بیشتر از این که دلیل حال بدم حالمو بد کنه از این که چطور و اصلا چرا دائما باید کامیونیکت کنم حال بدمو حالم بده.,1,Sad
1661,"""بابا تو هم که همش همینی.""",1,Sad
1662,من واقعا حالم خوب نیست. خیلیم دارم تلاش میکنم که حالمو خوب نگه دارم و از هم نپاشم ولی مثل اینکه دیگه نمیتونم. دیگه حتی حال خوب کردن خودمو ندارم و تنها کاری که از دستم بر میاد اینه که روزی ده دوازده ساعت بخوابم که کمتر حال بدمو بفهمم ولی توی همون خوابم انقد تپش قلب میگیرم و استرس,1,Sad
1663,میکشم که بعد خواب حالم بدتره حتی نمیتونم برم با یه تراپیستی حرف بزنم چون نمیدونم چمه واقعا نمیدونم چمه چون ته دلم میدونم اون نمیتونه حالمو خوب کنه چون واقعا حوصله ندارم حال خودمو خوب کنم اینا رو هم اینجا گفتم چون فقط میخوام یکی حرفامو بخونه چون اگه به مامانم بگم اونم حالش بد میشه,1,Sad
1664,وایییی نمیدونم استرس پروژه خودمو دارم یا استرس کنکور دوستمو😩😩😩,1,Sad
1665,امیدوار باشید که هم خودم پروژمو خوب تحویل بدم هم دوستم کنکورشو خوب بده تو عروسیتون جبران می‌کنم,0,Happy
1666,من انقد خوشگلم که آدما گاهی اوقات از خودشون می‌پرسن یعنی اینم دستشویی می‌کنه؟,0,Happy
1667,وای دوستام در کمتر از یه متریم🥹🥹🥹🥹,4,Intense Emotions
1668,چه‌ها جاج نکنید شاید اگه شیرازیشو نمی‌ذاشت میمرد,0,Happy
1669,دلم برای دوستام تنگ میشه چیکار کنم؟,1,Sad
1670,فردا همین جمع یه ناپل قدوسیمون نشه؟,3,Neutral
1671,رفتار حراست دانشگاه علامه طباطبائي با دانشجو هاي مملكت !,2,Angry
1672,اين مردك با وقاحت تمام و برخورد فيزيكي(دختر و پسرشم فرقي نداره) داره وظيفشو مثلا انجام ميده!,2,Angry
1673,ما زن‌ها یه چوب شدیم رفتیم تو کون جمهوری اسلامی.,2,Angry
1674,وای چرا علی زند‌وکیلی تو جشن فارغ‌التحصیلی لالاکن دختر زیبای شبنم خونده😂😂😂😂😂😂😂😂😂,0,Happy
1675,این یه نشونه‌ست برای اینکه برید گسسته بخونید,3,Neutral
1676,این سیب زمینی آخرو نمیخوام میتونی برش داری,4,Intense Emotions
1677,بچه‌ها شما می‌دونستید تهرانیا پنجیر و خنج ندارن؟😨😨😨,1,Sad
1678,یه دستش فلج شد.,3,Neutral
1679,قبلا درس داشتم نمی‌تونستم مشروب بخورم الان دندونم کیر زده بهم وای خدا این مزه‌های خوشمزه رو باید نگاه کنم فقط,2,Angry
1680,دهنم سرویس شد 😭,1,Sad
1681,با تمام وجودم میخواممممم.,4,Intense Emotions
1682,چرا گوه میخوری حالا؟,2,Angry
1683,توییتر توی تنها چیزی که ناامیدم نمیکنه دیدن کلی دافی عه. دو بار اومدم جدیدا هر دفعه یه دور پشمام ریخته که این همه آدم داف دیدم.,4,Intense Emotions
1684,من اومدم بگم پشمام توییتر، و برم.,4,Intense Emotions
1685,پای منبر اینا سینه می‌زنید؟ بعد باید به عقایدتونم احترام گذاشت؟ سیکتیر.,2,Angry
1686,کیر توش. مهمونی ارشولکو از دست دادم.,2,Angry
1687,این ستاپ ساده سرکارم رو خیلی دوس دارم,0,Happy
1688,خاک بر سرت توکلی,2,Angry
1689,چقدر سمه این گروهه.,1,Sad
1690,حتی وسط خوش‌گذرونی هم به اپلای فکر می‌کنم. تیکه‌ تیکه شی آخوند پدرجنده.,2,Angry
1691,اگر حوصله داشتید، خوشحال میشم بگید :),0,Happy
1692,در دنیای ۴۶ کروموزومی‌های عاقل‌ باشعور، تو فرزاد بمان ❤️,4,Intense Emotions
1693,نکند این همه بد قلب مرا سست کند.,1,Sad
1694,آقای وحید شمسایی نذار بگم تو اکباتان با مهران غفوریان داشتی برنج می‌خوردی,0,Happy
1695,هر موقع حس میکنیم بدسگال تموم شده میتونیم دمی آب بخوریم بدسگال جدید از راه میرسه :)),0,Happy
1696,این ترانه یه جایی از دلمو چنگ می‌زنه که نمی‌دونم کجاست,4,Intense Emotions
1697,اتفاقا من نتیجه‌ی عکس گرفتم حاجی. استایل نوشتنم خیلی حرفه‌ای‌تر از قبل شده و واقعا راضیم.,0,Happy
1698,خسته شدم از این همه بگایی و حال بد. بسه دیگه :) دیگه واقعا نمیکشم :),1,Sad
1699,اینجا اگه سُر بخوری واقعا میمیری.,1,Sad
1700,الهی قربونت بشم,4,Intense Emotions
1701,اگه تو هم نمیدونی این دو نفر کین سلام ✋🏻,0,Happy
1702,خب بله الان بهم اثبات شد من عنقد خار دارم که اگه سنگ بباره از آسمون، صاف میاد میره تو کون من,1,Sad
1703,من واقعا آدم مناسبی برای زندگی نیستم.,1,Sad
1704,یه پیشبینی‌ای دارم، ولی بیانش نمیکنم که رو سیر اتفاقات تأثیر نذارم,3,Neutral
1705,سردمه، حوصلم سر رفته، دوس دخترم نیست، دوستامم نیستن، هیچ کاری هم ندارم😭😭🥲,1,Sad
1706,از بودن توی خاورمیانه خسته شدم,1,Sad
1707,بعضا میشینم فکر میکنم به اینکه چطوری تونستم. kudos به من واقعا 🤫,0,Happy
1708,بدنش زیر سم اسبان است...,1,Sad
1709,دلم نمیخواد برم بیرون . دلم میخواد بیرون بیاد پیشم.,0,Happy
1710,یو کنید ببینید چقد باحاله🤭,0,Happy
1711,آقا با دست چپ تسلط نداشتم :)),0,Happy
1712,وای ریتوییت 😭,4,Intense Emotions
1713,عرق چند وقت کنسله,3,Neutral
1714,چرا از پسری که ازش بدم میومد الان ذهنمو درگیر کرده؟,4,Intense Emotions
1715,تبریک می‌گم 😍🥹,4,Intense Emotions
1716,زیبااااا😭💞,4,Intense Emotions
1717,میگذره ولی جای خالیش حس میشه,1,Sad
1718,رابطه من با ماکارونی,0,Happy
1719,روزم در بهترین حالت سه بعد از ظهر شروع میشه و از ساعت هشت به بعد هم که شبه دیگه نمیشه کاری کرد.,1,Sad
1720,بعد جالب اینه با خودشون فکر می‌کنن شاید خیلی آدم‌ها متوجهش نشن ولی متاسفانه از صد فرسخی داد میزنن که اینجوری ان.,1,Sad
1721,خیلی چیزها تو زندگیم اونجور که می‌خواستم پیش نرفت ولی این یکی یک جور دیگه‌ای قلبم رو به درد میاره.,1,Sad
1722,بهتره که خالی بمونه,3,Neutral
1723,باورم نمیشه دوباره پام داره به دندونپزشکی باز میشه. باز اون ساکشن کیری تو دهنم. اون بوی مزخرف. خدایا من دیگه چه کونی باید به دندونام بدم آخه؟,2,Angry
1724,اگه امروز امام زمان ظهور می‌کرد و میرفت کمک حسین شاید اینجوری نمیشد.,1,Sad
1725,خیلی قطعی حرف میزنید. ممنون میشم شک کنید.,0,Happy
1726,ابر می‌بارد و من می‌شوم از یار جدا. چون کنم دل به چنین روز ز دلدار جدا؟,1,Sad
1727,از نظر شما غمگین‌ترین بیت شعر فارسی کدام است؟,1,Sad
1728,نمی‌‌تونم تشخیص بدم چون شجریان با اون همه غم این رو خونده بود این رو گفتم یا واقعا خود محتوای شعر.,1,Sad
1729,جدا قدم بزرگی بود. قبول دارید؟,0,Happy
1730,این جوش شیرین‌تون هم که رو کفشای سفیدم جواب نداد. اه برید بمیرید.,2,Angry
1731,منم آدم دیگه مگه نه؟ ربات که نیستم,3,Neutral
1732,اه خسته شدم. به چی پناه ببرم؟,1,Sad
1733,می‌بینی؟ همه خسته شدن.,1,Sad
1734,چقدر داری آدم‌ها رو ازم می‌گیری و خودت حواست نیست.,1,Sad
1735,کاش الان من جای اون. بعد هیشکی جای من نه. یعنی کلا من وجود نه.,1,Sad
1736,این چه مرضیه که چند ساعته رسیدی خونه و داری از گرما می‌میری ولی حوصله نداری لباساتو عوض کنی؟,1,Sad
1737,کودک‌ درونم حوصله اش سر رفته بود=))))),0,Happy
1738,نون و پنیر اینجوری درست کنید,0,Happy
1739,مجسمه‌ساز شدم.,3,Neutral
1740,من دیگه گوه بخورم از تو انتظار داشته باشم. خیالت راحت.,2,Angry
1741,راس گلر هم مثل يزيد ميمون باز و شراب خوار بود,3,Neutral
1742,وای این لحظه‌ها آدم خیلی حس قدرت😭😭😭,0,Happy
1743,هنوز یه سری‌ها وجود دارن که می‌گن نت نداشتیم پیامتو ببینیم :/ پیام چند روز پیش. یا للعجب :),1,Sad
1744,دکمه‌ی آدمای بیشعور رو از زندگیتون بزنید,2,Angry
1745,کم ما رو قبول کن ...,1,Sad
1746,بزرگ شدم می‌خوام ایلان ماسک بشم.,0,Happy
1747,پاریس: شهر عشاق 😍🥂,4,Intense Emotions
1748,با لچک لباس درست کردن خیلی حال می‌ده هاااا.,0,Happy
1749,جدی شریعتی خوندن ردفلگه.,2,Angry
1750,گریه کردن راهیه که چشم‌هات حرف بزنن، وقتی کلمات از توضیح اینکه چقدر قلبت شکسته عاجزن …,1,Sad
1751,کاش هرشب می‌تونستم برم گالری و تئاتر و سینما و تو هنر غلت بزنم.,0,Happy
1752,کاش این رفیقم بفهمه در واقع داره با خودش سر درآوردن لج اکسش بازی می‌کنه و خوب نیست.,1,Sad
1753,بی‌لیاقتید. نمی‌شود برایتان مرد.,2,Angry
1754,یه آدمایی قدر چیزایی که باید رو نمی‌دونن که واقعاً نیاز دارم بزنم پس کله‌شون. باورم نمی‌شه. اسکلن و نمی‌فهمن که نداشتن همین چیزهای به ظاهر عادی چقدر سخته.,2,Angry
1755,یعنی این یکی اگر ساخته ذهن من باشه و واقعاً نشه، خیلی.,1,Sad
1756,تبریک میگم عزیزم.❤️❤️,4,Intense Emotions
1757,دونر گاردن واقعا کسشره,2,Angry
1758,گریه‌های خودم رو تا جایی تونستم قورت بدم که مامانم زد زیر گریه,1,Sad
1759,خواب ظهرم که نمیشه ازش گذشت😔,0,Happy
1760,لایک کنید بشه اورئو و کوفت. لایک کنید بشه اورئو و زهر مار. بمیرید دیگه,2,Angry
1761,اینا اپلیکیشن فرم ندارن براشون اپلای کنیم؟,3,Neutral
1762,حس من پارسال: 😂😂😂,0,Happy
1763,وای اره خیلی می‌شه بازیافتشون کرد😭😭,0,Happy
1764,♥️😭 من لیاقتتو ندارم به خدا😭,4,Intense Emotions
1765,خب دیگه خفه شو بخواب کم چرت بگو,2,Angry
1766,قبلا از صورتی بدم میومد ولی امروز نظرم عوض شد.💕,0,Happy
1767,بامزه بودن واقعا ذاتیه. تلاش اضافه بی‌معنیه.,3,Neutral
1768,انقد مرز برای خودت نذار تا تهش اینطوری بشه یاسی جون.,4,Intense Emotions
1769,نه تنها بی‌معنیه، گاهی بقیه رو دچار شرم نیابتی میکنه. =),0,Happy
1770,امروز اومدم با شال، اون حرکت خانم خوشگله رو بزنم، نزدیک بود خفه بشم. باید برم آموزش ببینم.🙏🏻,0,Happy
1771,من دست ندادم سم دادم.,3,Neutral
1772,امروز صولتی شدم. بریم باربی ببینیم.💅🏻,0,Happy
1773,و از صورتی بدم میاد، دارم تمام تلاشمو میکنم عوض نکنم.,1,Sad
1774,حوصله‌م سر رفتههه.,1,Sad
1775,یه جوری جیغ زدم تارهای صوتیم پاره شد.,1,Sad
1776,سوسک نشست روم. جای کسرا و بهداد خالی.🤭,0,Happy
1777,به نظرم میوت کردن خیلی بیشتر از بلاک کردن میسوزونو ادمو.,1,Sad
1778,آدم‌های پررو و بی‌ملاحظه واقعاً اذیتم می‌کنن. حد خودتون رو بدونید و کمی بزرگ شید عزیزان.,4,Intense Emotions
1779,کمدی مورد علاقه‌م فیلم عروسی مامان بابامه.,0,Happy
1780,ببینید پیرسینگ چه خوشگله🥹,4,Intense Emotions
1781,طبق روال همیشگی، گرمهههه,1,Sad
1782,چه خوشگل شدهههه,4,Intense Emotions
1783,متاسفانه پرسونایی که از خودم در فضای مجازی ارائه می‌دم انتظارات نابه جا ایجاد می‌کنه.,1,Sad
1784,باز تو گند زدی به اسم من,2,Angry
1785,نمیدونم چطور بگم من واقعا تو آینه ی قیافه متفاوت از دوربین گوشی شما دارم😭,1,Sad
1786,تازه پول ضامن رو هم برمیدارههه🤦‍♀️,1,Sad
1787,ینقدر بعضی وقتا همچی قشنگ پیش میره که اصلا روزا معلوم نیست چطوری میگذره:))),0,Happy
1788,داره خرید میشه💃🏻,0,Happy
1789,خصوصی بفرست,3,Neutral
1790,افسردگی تضمینی با داریوش,1,Sad
1791,آدم آخرش تنهاست، اولش هم. تلخ اما واقعیِ امروز.,1,Sad
1792,جدی چقدر باید ادم کصشری باشی که تنها فلکست بشه رشته و دانشگاهت.,2,Angry
1793,امتحان شد و بسی مورد پسند بود🥹,0,Happy
1794,سلام ستون گنگ.,0,Happy
1795,نمیدونم امشب برم باشگاه بیشتر کالری میسوزونم یا خونه رو تمیز کنم,3,Neutral
1796,چقدر از این کلمه بدم میاد🔪,2,Angry
1797,اه‌اه چه قدر این سعادت‌آباد ادایی عه,2,Angry
1798,چت کردن با بابام واقعا عجیبه. مرد نیازی نیست همش بهم گل بدی😭.,0,Happy
1799,من هر چی دهنم رو می‌بندم، هی گه می‌خوره، هی گه می‌خوره. احمق روانی.,2,Angry
1800,اینجور من طرفدار بودمااا😂😂,0,Happy
1801,ولی متاسفانه فقط برای ماکسیمم تا فردا😭,1,Sad
1802,چقدر سانتیمانتال و باکالاس کسشر میگه,2,Angry
1803,دلم کلی لوازم ارایش خوشگل میخواد.😭,0,Happy
1804,من ریدم توی آفتاب این مملکت. کیری پوستتو می‌کنه. همون بارونشو بدین ممنونم.,2,Angry
1805,یه بروکسلم برمو دیگه فقط کار کار کار🤡🤡🤡,0,Happy
1806,روزی نیست که بابت پاسپورت ایرانی استرس نکشم و برای موقعیت‌های از دست رفته غصه نخورم.,1,Sad
1807,نمی‌دونم چند بار با تصور یک لحظه می‌تونم گریه کنم.,1,Sad
1808,قدر دوستام حامین، حتی از راه دورم نمیذارن تنها بمونم. واقعا کاش لیاقتشونو داشته باشم🥺,4,Intense Emotions
1809,کی انقدر بزرگ شدم که تنهایی میرم فرودگاه؟ چه حس غریبیه!,1,Sad
1810,جوووون تو ماه جون ۲ برابر حقوق میدن. تازه داره جذابیتاشو نشون میده.,0,Happy
1811,یا ابلفضل 🔥,4,Intense Emotions
1812,همون که تنها موند، همون که تنها رفت,1,Sad
1813,همراه اول بگیر اوکی میشه,3,Neutral
1814,چون اون موقع خوابیم آجی.,3,Neutral
1815,اومده بودن هنگ کنگ؟,3,Neutral
1816,اگه دانشگام گیلان بود الان تو زندگیم هیچ مشکلی نداشتم💔,1,Sad
1817,پسر انگار من اینو اختراع کردم😂😂😂😂,0,Happy
1818,دلم یک دورهمی ساده و خنده و حرفای عمیق میخواد!,4,Intense Emotions
1819,بله به صورت جدی ☺️,0,Happy
1820,لپ‌تاپم دیگه داره صدای جاروبرقی می‌ده :(,1,Sad
1821,روزی پنج بار یادآوری می‌کنی چجوری می‌تونم فراموش کنم,1,Sad
1822,من با این موهای کیری چ کنم :(,2,Angry
1823,بابا خیلی بهت میاد که این رنگی.,4,Intense Emotions
1824,من که آپدیت کردم عوض شده لوگوم🤡🤡,0,Happy
1825,وای آجی میشه بیام باهم حرف بزنیم؟😭,4,Intense Emotions
1826,زیباترین جایی که تا حالا تو عمرم دیدم. عکسا هیچ ادیتی ندارن.,4,Intense Emotions
1827,ادمیشن گیری فقط خودم.🙏🙏🙏 خیلی قشنگه 🥹,0,Happy
1828,عقل پزشکی که بدون سهمیه قبول شده,2,Angry
1829,موندم این کانورس گل گلیه رو بخرم یا که زیادی براش پیرم.,3,Neutral
1830,به‌به 🥹✨,0,Happy
1831,😂😂😂😂😂 دلقک,0,Happy
1832,چقدر همه چیز به همه چیز مربوطه. نمی‌خوام.,1,Sad
1833,وای بسه داداش.,2,Angry
1834,من الان میمیرم 😭 گشنمه و اکسپلورم پر از غذاااااااس 🫠😪,1,Sad
1835,این سگ افسردگی رو هم بغل کنیم بعدش فقط زار زار زار.,1,Sad
1836,ملت چه احمقایین، بخدا ما خیلی خوبیم.,2,Angry
1837,بنظر میرسه که با دوستای خارجیشم مشورت کرده قبل از این توییت,0,Happy
1838,دامن به عنوان لباس بیرونی واقعا ناجالب و زشته,1,Sad
1839,مشوش و گم,1,Sad
1840,برمی‌گردم و نگاه می‌کنم. همیشه فقط من بودم. برمی‌گردم و نگاه می‌کنم و فقط خود درمانده‌م رو می‌بینم که داره دست و پا میزنه من احمق,2,Angry
1841,کیو دارم گول می‌زنم؟,1,Sad
1842,دکترا یجوری جوگیر میشن انگار منشین,0,Happy
1843,از این ورژن احمق و نیدی و ترسوم متنفرم. بدم میاد بدم میاد حالم بهم می‌خوره بدم میاد. خیلی کصشر و مسخره‌ست واقعا حتی از احساساتم هم بدم میاد از دوست داشتنم بدم میاد از تنفرم بدم میاد از حسادتم بدم میاد بدم میاد متنفرم,1,Sad
1844,یعنی شما نمی‌خواید روی بدن انسان مورد علاقه‌تون با گاز طراحی کنید؟. متوجه نمیشم یعنی وقتی می‌بینیدش دندون قروچه نمی‌گیرید و دهنتون ناخودآگاه باز نمیشه؟,4,Intense Emotions
1845,یه چیزی که هیچوقت درک نخواهم کرد گاز گرفتن از روی علاقست,1,Sad
1846,واسه کسی کص خیس کنید که حداقل بدونه وجود دارین,2,Angry
1847,وی در خانواده ای مذهبی چشم به جهان گشود,3,Neutral
1848,ظهر عاشوراعه و ودکاش,0,Happy
1849,خیابونا بوی جوراب و عطر مشهدی و عرق میده,0,Happy
1850,مگه چقدر نخورده و گشنه‌اید کصکشا؟ حال آدمو بهم می‌زنید جدی,2,Angry
1851,پیراهن مردونه خیلی عالیه نمی‌فهمم چرا تا الان نمی‌پوشیدم,0,Happy
1852,زندگی انقدر عجیب و خسته کننده و پیچیده‌ست که دیگه ترجیح میدم هر کاری بکنم جز زندگی,1,Sad
1853,واقعا یک چیزهایی ناراحتم میکنه که از اینکه از اون ناراحت شدم ناراحت میشم,1,Sad
1854,من می‌ترسم چون می‌دونم که عاشقت می‌مونم.,4,Intense Emotions
1855,چرا واقعا چرا انسان‌ها همه‌شون انقدر ناامید کننده هستن؟ محض رضای خدا یکیتون ناامیدم نکنه,1,Sad
1856,بله من می‌تونم به هر کسی و هر چیزی حسودی کنم,1,Sad
1857,خسته خسته واقعا خسته خیلی خسته ناتوان خسته اذیت خسته خیلی خیلی زیاد خسته,1,Sad
1858,بس که افتادیم به چاه امروز شدیم استاد شنا,0,Happy
1859,طرف از یک خراب شده اومده ایران و از این جهنم دره تونسته فرار کنه خب دمش گرم، چتونه؟,1,Sad
1860,دخترای زیبا اهل ریسکن.,4,Intense Emotions
1861,هنوزم دیر نیست...💔,1,Sad
1862,رفتن هاي واقعي بدون خدافظيه .,1,Sad
1863,یک دنیا غبطه به اون‌هایی که می‌تونن تو خونه پروداکتیو باشن. من صندلی میز مطالعه‌م خار داره.,4,Intense Emotions
1864,بعد ٢ سال دوباره اسپاتيفاي ريختم و ميخوام زخمييي كنم,0,Happy
1865,هي ميخوام راجب عزادارياشون بنويسم ، باز ميگم حتي ارزش توييت زدنم ندارن,2,Angry
1866,خب مثل اينكه اين هفته وقت كار زياده,0,Happy
1867,من نمیخوام اینطوری باشم,1,Sad
1868,ولی واقعا دیگه هیچ حسی به آدما ندارم,1,Sad
1869,واقعا عزادارها رو که می‌بینم بی اختیار از شدت مسخره بودنشون خنده‌م می‌گیره..,0,Happy
1870,از روی زبان تبلیغای SoundCloud می‌فهمم وی‌پی‌انم الان رو سرور چه کشوریه,3,Neutral
1871,هیچ چیز پایدار نیست,3,Neutral
1872,گلممد تو حاضر نیستی یه شارژ دویی به من بدی من به چه امیدی بشینم که تو نصف گنجو بدی من ؟!,3,Neutral
1873,دلم سکس در ظهر عاشورا می‌خواد.,0,Happy
1874,یک ساعته دارم به این میخندم😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,Happy
1875,حداقلش هر موقع لايي بازي سنگين كردم كسي تو ماشينم نبوده ، از اين بابت خوشحالم,0,Happy
1876,کیرم دهن تک تک اونایی که میرن مراسم این زنازاده و نوحه خوندنشو گوش میدن. ریدم تو اعتقاداتتون,2,Angry
1877,برای بابام وقتی تو ماشین تنها بوده پیامک کشف حجاب اومده.,1,Sad
1878,سلامتی یزید که نگفت چند زید گفت یه‌زید🥀,1,Sad
1879,عاشورا...🖤🥀,1,Sad
1880,واای، پنجره و باباآدم رو 🥺,4,Intense Emotions
1881,آقا این کد بلو اسکای رو بدین بهمون. ایلان رسما پرنده آبی رو کشید پایین به جاش لوگوی ایکس گذاشت :(,1,Sad
1882,خب وقتشه شما هم این سم رو ببینید🫣🫥,0,Happy
1883,باز محرم شد و تا دسته صدای کیرخر میاد. ینی همسایه‌داری و عدم تولید آلودگی صوتی پشم. کی میشه از دست اینا راحت بشم.,2,Angry
1884,هیچوقت فکر نمیکردم به این مرحله برسم که وقتی حوصلم سر بره بشینم درس بخونم. باورم نمیشه تفریح کردن و وقت تلف کردن یادم بره!,0,Happy
1885,یک روز!,3,Neutral
1886,و تمام!,0,Happy
1887,گلیتی پلژر مورد علاقم توی خواب:,0,Happy
1888,کلا اگر در جنگ نباشید ناراحتید. دلایل مختلف هم برا خودتون میارید,1,Sad
1889,شک کن بهش داداش. شک کن. شک کن. شک کن. شک کن,4,Intense Emotions
1890,اگه نمیگید طرف با بدن خودش قهره،زشته،خجالتیه،عقب ماندست،تفکر اخوندی داره و... بگم که واقعا حس خوبی از گذاشتن نود خودم در سوشال مدیا ندارم و حتی دیدن نود دیگران هم حس خوبی بهم نمیده,1,Sad
1891,مرفه بی درد پلی تکنیک از نوع برقی (نگار هستم نه نگین),3,Neutral
1892,بچه ها جون ببینید تاثیر جو چه قدره,0,Happy
1893,برای دومین بار رفتم دیدمش و برای دومین بار هم کسشر بود,2,Angry
1894,چند روز پیش یکی از دوستای دوستم (پسره) از ایران رفت.بعد طرف دوست دختر داشت.به دوستم گفته بود خب حالا با دختره چی کار کنم؟چیکار عنه؟یه شب تصمیم گرفتی بری؟,2,Angry
1895,گه می‌خورید وقتی پلناتون برا آیندتون مشخصه کسی رو وارد زندگیتون میکنید و این توهم رو بهش میدید که با همید و چیزی عوضش نمیکنه,2,Angry
1896,نمیشه این جماعت یه الگو از امامشون بگیرن،چشماشون رو ببندن بگن اکه میخواید برید برید؟,1,Sad
1897,ایشون که بدون اون کراپ هم نباید نگران چیزی باشن,1,Sad
1898,چند جلسه باید برم پیش تراپیست تا این دو شب و صدا هاشون و این وحشی‌گری هاشون رو فراموش کنم؟,1,Sad
1899,دیگه نگران هیچی نباشید🤡,0,Happy
1900,پس ماهم تو کراپمون براتون کاپ مخفی گذاشتیم که دیگه نگران هیچی نباشید🤝🏻♥️,4,Intense Emotions
1901,و این که پسره آدم نیست؟,3,Neutral
1902,حس میکنم هدفم رو گم‌ کردم,1,Sad
1903,همراه اول وقتی اولین گل رو خوردن پیام داده ببریم فردا اینترنت رایگان,3,Neutral
1904,لعنت به بهار. از تخت کنده نمیشم,1,Sad
1905,رو دسته‌ی مبل خوابم‌ میبره. پشت میز خوابم‌ میبره. سر کلاس خوابم,1,Sad
1906,وقتی هیچ ایده ای از بی پولی،مشکلات خانوادگی،هدف های متفاوت(به خصوص مهاجرت)و... نداری,1,Sad
1907,چرا عادت کردیم بگیم ته رابطه جداییه؟,3,Neutral
1908,مگه میشه دو نفر بخوان و نشه؟,4,Intense Emotions
1909,اگه نشد یکیشون نخواسته.,1,Sad
1910,یعنی هنوز پلنگا طرفدار دارن؟ دوست پسره رفته با پلنگتر؟ یعنی خودشم پلنگه؟,3,Neutral
1911,دوست پسرم خیانت کرد!😂 پسر چجوری دلت امد من تمام روزایی که پادگان شیفت بودیو برات اشک ریختم تمام ناراحتی هاتو به دوش کشیدم. تهش منو دادی به یه پلنگتر! 😂,1,Sad
1912,گشت ارشاد تعطیل شد؟ جهنم. بیت رهبری تعطیل شد ترندش کنید #مهسا_امینی #اعتصابات_سراسری,2,Angry
1913,خب خوش گذشت. دوباره برگردیم به بحث فراخوان های 14 15 16 آذر #مهسا_امینی #اعتصابات_سراسری,1,Sad
1914,هر‌روز که میگذره از ایرانی بودن خسته تر میشم.,1,Sad
1915,عالیه باتری درامام تا چند وقت دیگه پره✅,0,Happy
1916,بچه‌های المپیادی وقتی می‌بینن سهمیه مدال المپیادو می‌ذارید کنار سهمیه ایثارگران:,1,Sad
